Z,Yc,h,omegaYc,T,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,CO,CO2,HCO,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,H2O2,C2H2,C2H3,CH2CHO,CH2CO,CH2OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O
-0,0,1893.98,0,300,0.75425,0.01378,0,0,0.23197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000329,0,205.403,0.0171126,300.752,0.754196,0.013779,0,2.11714e-08,0.231858,5.75427e-07,2.24854e-07,3.72242e-07,5.94864e-05,6.90278e-08,1.52294e-05,7.34663e-05,1.36134e-09,3.99287e-08,6.67234e-08,1.72478e-07,6.94336e-09,0,3.35991e-06,6.60789e-10,5.1509e-09,1.08614e-07,2.89773e-08,8.16136e-07,2.36347e-08,7.82551e-10,5.52795e-08,2.07079e-07,3.77152e-07,0,1.28331e-05,3.12427e-09,2.09075e-08,4.3209e-10
0.00065,0,-1441.6,0.0337661,301.483,0.754143,0.013778,0,4.17762e-08,0.231748,1.13545e-06,4.43681e-07,7.34571e-07,0.000117382,1.3619e-07,3.00514e-05,0.000144968,2.6861e-09,7.87924e-08,1.31653e-07,3.403e-07,1.37019e-08,0,6.6307e-06,1.30356e-09,1.0162e-08,2.14341e-07,5.71677e-08,1.61061e-06,4.66406e-08,1.54392e-09,1.09067e-07,4.08678e-07,7.44089e-07,0,2.53122e-05,6.16348e-09,4.12612e-08,8.52548e-10
0.000963,0,-3049.59,0.0499638,302.195,0.754092,0.0137771,0,6.18184e-08,0.231642,1.68018e-06,6.56525e-07,1.08705e-06,0.000173698,2.01502e-07,4.44688e-05,0.000214519,3.97458e-09,1.16598e-07,1.94803e-07,5.03501e-07,2.02767e-08,0,9.81294e-06,1.92847e-09,1.50346e-08,3.17199e-07,8.45776e-08,2.38357e-06,6.90221e-08,2.28427e-09,1.61375e-07,6.04832e-07,1.10089e-06,0,3.74408e-05,9.11834e-09,6.10648e-08,1.26146e-09
0.001268,0,-4620.98,0.0657091,302.886,0.754042,0.0137762,0,8.13021e-08,0.231539,2.20972e-06,8.63429e-07,1.42976e-06,0.000228446,2.64977e-07,5.84844e-05,0.000282133,5.22702e-09,1.53354e-07,2.56186e-07,6.62117e-07,2.66693e-08,0,1.29072e-05,2.53566e-09,1.97695e-08,4.17208e-07,1.11213e-07,3.13514e-06,9.07833e-08,3.00377e-09,2.12213e-07,7.95576e-07,1.44764e-06,0,4.9222e-05,1.19896e-08,8.03217e-08,1.65892e-09
0.001566,0,-6157.99,0.0810566,303.56,0.753993,0.0137753,0,1.00295e-07,0.231438,2.72591e-06,1.06511e-06,1.76387e-06,0.000281815,3.26837e-07,7.21469e-05,0.000348044,6.44779e-09,1.89186e-07,3.16015e-07,8.16701e-07,3.29015e-08,0,1.59242e-05,3.12726e-09,2.43836e-08,5.14712e-07,1.37168e-07,3.86793e-06,1.11999e-07,3.70493e-09,2.61759e-07,9.81566e-07,1.78555e-06,0,6.06974e-05,1.47872e-08,9.90983e-08,2.0463e-09
0.001857,0,-7662.72,0.0960089,304.217,0.753946,0.0137744,0,1.18799e-07,0.23134,3.22883e-06,1.2616e-06,2.08943e-06,0.000333815,3.87093e-07,8.54586e-05,0.000412264,7.63709e-09,2.24101e-07,3.74301e-07,9.6728e-07,3.89744e-08,0,1.88643e-05,3.70339e-09,2.88775e-08,6.09727e-07,1.62446e-07,4.58205e-06,1.32673e-07,4.38788e-09,3.10023e-07,1.16283e-06,2.11467e-06,0,7.18694e-05,1.75117e-08,1.17397e-07,2.42367e-09
0.002141,0,-9137.11,0.110569,304.857,0.7539,0.0137736,0,1.36819e-07,0.231244,3.71858e-06,1.45294e-06,2.40651e-06,0.000384453,4.45757e-07,9.84216e-05,0.000474802,8.79513e-09,2.58104e-07,4.31055e-07,1.11388e-06,4.4889e-08,0,2.1728e-05,4.26417e-09,3.32522e-08,7.02269e-07,1.87054e-07,5.2776e-06,1.52809e-07,5.05276e-09,3.57012e-07,1.33939e-06,2.43509e-06,0,8.27408e-05,2.01638e-08,1.35222e-07,2.79111e-09
0.00242,0,-10583,0.124841,305.484,0.753854,0.0137728,0,1.54484e-07,0.23115,4.19868e-06,1.64051e-06,2.71738e-06,0.000434095,5.03252e-07,0.000111129,0.00053611,9.93025e-09,2.9144e-07,4.86684e-07,1.25757e-06,5.06877e-08,0,2.45359e-05,4.81366e-09,3.75393e-08,7.93001e-07,2.11167e-07,5.95958e-06,1.72551e-07,5.70435e-09,4.03067e-07,1.51253e-06,2.74909e-06,0,9.33902e-05,2.27625e-08,1.52699e-07,3.15125e-09
0.002693,0,-12002.1,0.138776,306.096,0.75381,0.013772,0,1.71733e-07,0.231059,4.66746e-06,1.82365e-06,3.02095e-06,0.000482568,5.59379e-07,0.000123538,0.000595975,1.10385e-08,3.23993e-07,5.40998e-07,1.39784e-06,5.63506e-08,0,2.72782e-05,5.34997e-09,4.17241e-08,8.8161e-07,2.34705e-07,6.62563e-06,1.9183e-07,6.34043e-09,4.48028e-07,1.68162e-06,3.05562e-06,0,0.000103781,2.5299e-08,1.69769e-07,3.50286e-09
