Z,Yc,h,omegaYc,T,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,CO,CO2,HCO,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,H2O2,C2H2,C2H3,CH2CHO,CH2CO,CH2OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O
-0,0,1893.98,0,300,0.75425,0.01378,0,0,0.23197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000384,0,-72.3933,0.0113375,300.396,0.754215,0.0137794,0,1.31288e-08,0.231905,2.69181e-07,1.12631e-07,2.93812e-07,3.52871e-05,3.63779e-08,1.06356e-05,4.05325e-05,7.64294e-10,2.68715e-08,5.87919e-08,1.07523e-07,5.15873e-09,7.08574e-12,3.06124e-06,4.4682e-10,2.9002e-09,1.22015e-07,1.27468e-08,6.81878e-07,1.37194e-08,5.56635e-10,3.1222e-08,1.77624e-07,1.89616e-07,0,9.01099e-06,2.03201e-09,4.29381e-08,2.07382e-10
0.000759,0,-1996.02,0.0223953,300.782,0.754181,0.0137787,0,2.5934e-08,0.231841,5.31727e-07,2.22484e-07,5.80412e-07,6.97063e-05,7.18552e-08,2.10096e-05,8.0068e-05,1.50972e-09,5.30823e-08,1.16136e-07,2.12391e-07,1.01907e-08,1.39973e-11,6.04754e-06,8.82525e-10,5.72846e-09,2.41043e-07,2.51771e-08,1.34705e-06,2.71018e-08,1.09947e-09,6.16724e-08,3.50903e-07,3.74533e-07,0,1.77977e-05,4.01349e-09,8.48259e-08,4.09624e-10
0.001125,0,-3879.29,0.0331745,301.158,0.754148,0.0137781,0,3.84168e-08,0.231779,7.87661e-07,3.29569e-07,8.59826e-07,0.000103261,1.06435e-07,3.11229e-05,0.00011861,2.23634e-09,7.86347e-08,1.72038e-07,3.14615e-07,1.50964e-08,2.07352e-11,8.95913e-06,1.30716e-09,8.48505e-09,3.57091e-07,3.72922e-08,1.99556e-06,4.01484e-08,1.62855e-09,9.13542e-08,5.19852e-07,5.5477e-07,0,2.63611e-05,5.94467e-09,1.25667e-07,6.06747e-10
0.001484,0,-5724.46,0.0437347,301.527,0.754116,0.0137776,0,5.06465e-08,0.231718,1.0384e-06,4.3448e-07,1.1336e-06,0.000136136,1.40311e-07,4.10315e-05,0.000156372,2.9482e-09,1.0367e-07,2.26807e-07,4.14761e-07,1.9903e-08,2.73368e-11,1.18121e-05,1.7231e-09,1.11853e-08,4.70804e-07,4.91595e-08,2.63101e-06,5.29314e-08,2.14682e-09,1.20432e-07,6.85405e-07,7.31327e-07,0,3.47489e-05,7.83628e-09,1.65687e-07,7.99846e-10
0.001835,0,-7533.64,0.0540475,301.887,0.754084,0.013777,0,6.25899e-08,0.231658,1.28327e-06,5.36933e-07,1.40099e-06,0.000168243,1.73389e-07,5.07085e-05,0.000193251,3.64337e-09,1.28121e-07,2.80296e-07,5.12558e-07,2.45973e-08,3.37842e-11,1.45988e-05,2.1292e-09,1.38219e-08,5.8187e-07,6.0747e-08,3.25166e-06,6.54161e-08,2.65288e-09,1.48827e-07,8.47111e-07,9.03729e-07,0,4.29383e-05,9.68321e-09,2.04777e-07,9.88398e-10
0.002179,0,-9308.81,0.064143,302.24,0.754053,0.0137764,0,7.4282e-08,0.2316,1.52299e-06,6.37229e-07,1.66278e-06,0.000199677,2.05769e-07,6.01823e-05,0.000229356,4.32387e-09,1.52059e-07,3.32659e-07,6.08294e-07,2.91933e-08,4.00963e-11,1.73272e-05,2.52668e-09,1.64027e-08,6.90615e-07,7.20886e-08,3.85933e-06,7.7639e-08,3.14821e-09,1.76623e-07,1.00544e-06,1.07248e-06,0,5.09536e-05,1.14909e-08,2.43051e-07,1.17296e-09
0.002516,0,-11051.8,0.0740219,302.585,0.754023,0.0137759,0,8.57235e-08,0.231543,1.75757e-06,7.35373e-07,1.91898e-06,0.000230438,2.37451e-07,6.94534e-05,0.000264689,4.98977e-09,1.75485e-07,3.83902e-07,7.01973e-07,3.3691e-08,4.62734e-11,1.99976e-05,2.91555e-09,1.89277e-08,7.97045e-07,8.31854e-08,4.45406e-06,8.96009e-08,3.63287e-09,2.03822e-07,1.16041e-06,1.23759e-06,0,5.87953e-05,1.32595e-08,2.80511e-07,1.35354e-09
0.002847,0,-12764.5,0.0837142,302.923,0.753994,0.0137753,0,9.69491e-08,0.231487,1.98772e-06,8.31664e-07,2.17038e-06,0.00026062,2.68532e-07,7.855e-05,0.000299356,5.64307e-09,1.98471e-07,4.34179e-07,7.93882e-07,3.81042e-08,5.23343e-11,2.2618e-05,3.29701e-09,2.14048e-08,9.01482e-07,9.4071e-08,5.03764e-06,1.01338e-07,4.10831e-09,2.30505e-07,1.31247e-06,1.39957e-06,0,6.64874e-05,1.49944e-08,3.17271e-07,1.53069e-09
0.003172,0,-14448.5,0.0932206,303.255,0.753964,0.0137748,0,1.0796e-07,0.231432,2.21346e-06,9.26108e-07,2.41697e-06,0.000290225,2.99015e-07,8.74726e-05,0.000333361,6.28383e-09,2.21017e-07,4.83493e-07,8.84026e-07,4.24331e-08,5.82794e-11,2.51885e-05,3.67108e-09,2.3834e-08,1.00393e-06,1.04746e-07,5.61011e-06,1.12851e-07,4.57457e-09,2.56676e-07,1.46165e-06,1.55843e-06,0,7.40305e-05,1.66957e-08,3.53332e-07,1.70442e-09
0.003492,0,-16105.3,0.102571,303.582,0.753936,0.0137743,0,1.1879e-07,0.231379,2.43549e-06,1.019e-06,2.65954e-06,0.000319345,3.28994e-07,9.62491e-05,0.000366809,6.91405e-09,2.43194e-07,5.31999e-07,9.72688e-07,4.66913e-08,6.41272e-11,2.77172e-05,4.03893e-09,2.6223e-08,1.10471e-06,1.15245e-07,6.17325e-06,1.24176e-07,5.03312e-09,2.82416e-07,1.6084e-06,1.71465e-06,0,8.14482e-05,1.83688e-08,3.88807e-07,1.87529e-09
0.003805,0,-17736.5,0.111707,303.901,0.753908,0.0137737,0,1.29372e-07,0.231326,2.65245e-06,1.10977e-06,2.89659e-06,0.0003478,3.58285e-07,0.000104825,0.000399493,7.52984e-09,2.64865e-07,5.79397e-07,1.05932e-06,5.08523e-08,6.98415e-11,3.01884e-05,4.39831e-09,2.85571e-08,1.2032e-06,1.25501e-07,6.72358e-06,1.35242e-07,5.48112e-09,3.07565e-07,1.75182e-06,1.86729e-06,0,8.86947e-05,2.00033e-08,4.23476e-07,2.04222e-09
0.004114,0,-19343.6,0.120717,304.215,0.75388,0.0137732,0,1.39808e-07,0.231274,2.86641e-06,1.19928e-06,3.13039e-06,0.000375865,3.8717e-07,0.000113284,0.000431728,8.13712e-09,2.86239e-07,6.26143e-07,1.14475e-06,5.49563e-08,7.54774e-11,3.2626e-05,4.75266e-09,3.08586e-08,1.30035e-06,1.35615e-07,7.26639e-06,1.46157e-07,5.92289e-09,3.32367e-07,1.89329e-06,2.01781e-06,0,9.58399e-05,2.1615e-08,4.57674e-07,2.20684e-09
0.004418,0,-20927.8,0.129572,304.525,0.753853,0.0137727,0,1.50066e-07,0.231223,3.07671e-06,1.28726e-06,3.3602e-06,0.00040345,4.15557e-07,0.000121597,0.000463412,8.73396e-09,3.07247e-07,6.72088e-07,1.22872e-06,5.89902e-08,8.10169e-11,3.50221e-05,5.10088e-09,3.31205e-08,1.39584e-06,1.45554e-07,7.79996e-06,1.56886e-07,6.35703e-09,3.56742e-07,2.03236e-06,2.16573e-06,0,0.000102861,2.31988e-08,4.9129e-07,2.36861e-09
