Z,Yc,h,omegaYc,T,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,CO,CO2,HCO,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,H2O2,C2H2,C2H3,CH2CHO,CH2CO,CH2OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O
-0,0,1893.98,0,300,0.75425,0.01378,0,0,0.23197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000468,0,-510.384,0.00812717,300.475,0.754216,0.0137794,0,1.09464e-08,0.2319,3.56977e-07,1.3177e-07,2.12431e-07,3.70083e-05,3.92156e-08,8.67863e-06,4.65787e-05,6.83414e-10,2.23789e-08,3.56963e-08,1.02401e-07,3.33046e-09,0,2.2446e-06,3.78572e-10,2.84191e-09,6.72464e-08,1.8941e-08,4.65993e-07,1.31878e-08,4.47963e-10,3.37384e-08,1.59663e-07,2.35295e-07,0,8.03254e-06,1.51729e-09,9.32304e-09,1.9181e-10
0.000919,0,-2831.89,0.0159466,300.931,0.754184,0.0137788,0,2.14789e-08,0.231832,7.00452e-07,2.58553e-07,4.16847e-07,7.26178e-05,7.69421e-08,1.70291e-05,9.1397e-05,1.34094e-09,4.39126e-08,7.00398e-08,2.00915e-07,6.53525e-09,0,4.40466e-06,7.42722e-10,5.57574e-09,1.31958e-07,3.71613e-08,9.14428e-07,2.58781e-08,8.78905e-10,6.6196e-08,3.13321e-07,4.61646e-07,0,1.57575e-05,2.97678e-09,1.82953e-08,3.76347e-10
0.001354,0,-5077.12,0.023477,301.371,0.754152,0.0137782,0,3.16225e-08,0.231768,1.03124e-06,3.80653e-07,6.13732e-07,0.000106914,1.1327e-07,2.50714e-05,0.000134562,1.97415e-09,6.46527e-08,1.03113e-07,2.95777e-07,9.622e-09,0,6.48532e-06,1.09333e-09,8.20808e-09,1.94288e-07,5.4705e-08,1.34637e-06,3.8101e-08,1.29386e-09,9.74509e-08,4.61335e-07,6.79599e-07,0,2.31937e-05,4.38202e-09,2.69379e-08,5.54054e-10
0.001774,0,-7252.06,0.030737,301.795,0.754122,0.0137777,0,4.14021e-08,0.231705,1.35017e-06,4.9837e-07,8.03572e-07,0.00013998,1.4829e-07,3.28253e-05,0.000176179,2.58462e-09,8.46498e-08,1.34997e-07,3.87223e-07,1.25983e-08,0,8.49164e-06,1.43127e-09,1.07455e-08,2.54389e-07,7.16156e-08,1.76287e-06,4.98866e-08,1.69387e-09,1.2758e-07,6.04068e-07,8.89695e-07,0,3.03599e-05,5.73649e-09,3.5272e-08,7.2537e-10
0.002181,0,-9362.1,0.0377622,302.205,0.754093,0.0137771,0,5.08659e-08,0.231644,1.65879e-06,6.12283e-07,9.87294e-07,0.000171979,1.82174e-07,4.03288e-05,0.000216453,3.17533e-09,1.04002e-07,1.6585e-07,4.75702e-07,1.54787e-08,0,1.04335e-05,1.75821e-09,1.32004e-08,3.12556e-07,8.79765e-08,2.16598e-06,6.12926e-08,2.08089e-09,1.56733e-07,7.42217e-07,1.09297e-06,0,3.72915e-05,7.04688e-09,4.33384e-08,8.91137e-10
0.002575,0,-11412.2,0.0445536,302.602,0.754065,0.0137766,0,6.00151e-08,0.231586,1.95716e-06,7.22406e-07,1.16492e-06,0.000202915,2.14926e-07,4.7583e-05,0.000255389,3.74637e-09,1.22712e-07,1.95674e-07,5.61229e-07,1.82635e-08,0,1.2311e-05,2.07421e-09,1.55733e-08,3.68795e-07,1.0379e-07,2.55573e-06,7.23203e-08,2.45498e-09,1.84913e-07,8.75798e-07,1.28945e-06,0,4.39898e-05,8.31341e-09,5.1138e-08,1.05138e-09
0.002957,0,-13406.7,0.0511294,302.986,0.754038,0.0137761,0,6.88741e-08,0.231529,2.24605e-06,8.29035e-07,1.33693e-06,0.00023287,2.46636e-07,5.46071e-05,0.000293091,4.29927e-09,1.4083e-07,2.24551e-07,6.44033e-07,2.09602e-08,0,1.41293e-05,2.38011e-09,1.78705e-08,4.23257e-07,1.19099e-07,2.93318e-06,8.29992e-08,2.81715e-09,2.12196e-07,1.00516e-06,1.47967e-06,0,5.04729e-05,9.53947e-09,5.86915e-08,1.20653e-09
0.003329,0,-15349.9,0.0575247,303.36,0.754011,0.0137756,0,7.74902e-08,0.231474,2.52703e-06,9.32739e-07,1.50424e-06,0.000262005,2.77473e-07,6.14388e-05,0.00032976,4.83699e-09,1.58451e-07,2.52635e-07,7.24556e-07,2.35832e-08,0,1.58979e-05,2.67755e-09,2.01043e-08,4.76231e-07,1.33986e-07,3.30032e-06,9.33862e-08,3.16934e-09,2.38727e-07,1.13101e-06,1.66465e-06,0,5.67758e-05,1.07317e-08,6.60392e-08,1.35741e-09
0.003691,0,-17245.4,0.0637401,303.723,0.753985,0.0137752,0,8.58645e-08,0.23142,2.80012e-06,1.03353e-06,1.66686e-06,0.000290323,3.0744e-07,6.80787e-05,0.000365401,5.35959e-09,1.75579e-07,2.79928e-07,8.0281e-07,2.61328e-08,0,1.76171e-05,2.96658e-09,2.2275e-08,5.27724e-07,1.48452e-07,3.65719e-06,1.03482e-07,3.5116e-09,2.64511e-07,1.25334e-06,1.8444e-06,0,6.28994e-05,1.18901e-08,7.31817e-08,1.50404e-09
