Z,Yc,h,omegaYc,T,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,CO,CO2,HCO,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,H2O2,C2H2,C2H3,CH2CHO,CH2CO,CH2OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O
-0,0,1893.98,0,300,0.75425,0.01378,0,0,0.23197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000208,0,828.837,0.03442,301.274,0.754002,0.0137755,0,1.91521e-08,0.23174,3.72045e-07,2.03978e-07,3.35523e-07,9.67796e-05,3.43612e-07,3.36814e-05,0.000106823,2.93207e-09,4.93621e-08,2.91529e-07,7.70328e-07,1.99258e-09,2.30883e-11,1.43127e-06,1.11999e-08,3.91793e-08,1.27216e-07,1.72956e-07,2.29358e-07,6.02593e-09,9.64818e-09,1.8144e-07,2.15512e-09,1.82305e-06,0,0.000238271,5.29773e-08,3.98957e-09,3.73945e-09
0.000414,0,-223.671,0.0680325,302.507,0.753768,0.0137712,0,3.78977e-08,0.231519,7.35896e-07,4.03372e-07,6.60683e-07,0.000190409,6.75504e-07,6.62665e-05,0.000210185,5.79492e-09,9.73311e-08,5.73062e-07,1.51313e-06,3.95134e-09,4.58243e-11,2.814e-06,2.19451e-08,7.69402e-08,2.49846e-07,3.3939e-07,4.52526e-07,1.19407e-08,1.89531e-08,3.56794e-07,4.27164e-09,3.58178e-06,0,0.000462003,1.03892e-07,7.89686e-09,7.3471e-09
0.000617,0,-1264.09,0.100805,303.698,0.753547,0.0137672,0,5.62161e-08,0.231307,1.09117e-06,5.97979e-07,9.7534e-07,0.000280857,9.95598e-07,9.77445e-05,0.000310052,8.58582e-09,1.43876e-07,8.44543e-07,2.22832e-06,5.87371e-09,6.81762e-11,4.14787e-06,3.22385e-08,1.1328e-07,3.67884e-07,4.9931e-07,6.69355e-07,1.7737e-08,2.79136e-08,5.26017e-07,6.3469e-09,5.27597e-06,0,0.000671789,1.52751e-07,1.17176e-08,1.08225e-08
0.000817,0,-2292.98,0.132849,304.852,0.753336,0.0137633,0,7.41673e-08,0.231103,1.43905e-06,7.88446e-07,1.28074e-06,0.000368492,1.30523e-06,0.000128244,0.000406829,1.13143e-08,1.89172e-07,1.10711e-06,2.91899e-06,7.7655e-09,9.02095e-11,5.43847e-06,4.21287e-08,1.48357e-07,4.8184e-07,6.5343e-07,8.80648e-07,2.3433e-08,3.65682e-08,6.8981e-07,8.3873e-09,6.91284e-06,0,0.000869128,1.99777e-07,1.54641e-08,1.41804e-08
0.001016,0,-3310.83,0.164576,305.985,0.753134,0.0137596,0,9.19795e-08,0.230904,1.78397e-06,9.77207e-07,1.58092e-06,0.000454482,1.60854e-06,0.00015817,0.000501804,1.40153e-08,2.3381e-07,1.36428e-06,3.59445e-06,9.65047e-09,1.12199e-10,6.70308e-06,5.17524e-08,1.82644e-07,5.93255e-07,8.0385e-07,1.08916e-06,2.91005e-08,4.50336e-08,8.50361e-07,1.04186e-08,8.51443e-06,0,0.00105715,2.45616e-07,1.91842e-08,1.74661e-08
0.001212,0,-4318.16,0.195743,307.088,0.752941,0.0137561,0,1.09515e-07,0.230712,2.12327e-06,1.16281e-06,1.87371e-06,0.000538207,1.90337e-06,0.000187308,0.000594294,1.66681e-08,2.77459e-07,1.61424e-06,4.24996e-06,1.15138e-08,1.33972e-10,7.93272e-06,6.10449e-08,2.15902e-07,7.01352e-07,9.49531e-07,1.29335e-06,3.46953e-08,5.32501e-08,1.00652e-06,1.24248e-08,1.00695e-05,0,0.00123494,2.89953e-07,2.28489e-08,2.06565e-08
0.001406,0,-5315.45,0.226573,308.17,0.752756,0.0137527,0,1.26898e-07,0.230524,2.45937e-06,1.34658e-06,2.16133e-06,0.000620313,2.19202e-06,0.000215883,0.000685009,1.9292e-08,3.20445e-07,1.85893e-06,4.8907e-06,1.33683e-08,1.55676e-10,9.13696e-06,7.00826e-08,2.48395e-07,8.06985e-07,1.09164e-06,1.49473e-06,4.02564e-08,6.12825e-08,1.15951e-06,1.44199e-08,1.15902e-05,0,0.00140434,3.33148e-07,2.64844e-08,2.37766e-08
0.001598,0,-6303.15,0.257123,309.233,0.752578,0.0137495,0,1.44159e-07,0.230341,2.79285e-06,1.52884e-06,2.4444e-06,0.00070098,2.47514e-06,0.000243958,0.000774149,2.18916e-08,3.62854e-07,2.09891e-06,5.51816e-06,1.5217e-08,1.77345e-10,1.03185e-05,7.88891e-08,2.80198e-07,9.10404e-07,1.23053e-06,1.69369e-06,4.57931e-08,6.91496e-08,1.30967e-06,1.64072e-08,1.30801e-05,0,0.00156608,3.7531e-07,3.00969e-08,2.68337e-08
0.001788,0,-7281.71,0.287439,310.279,0.752405,0.0137463,0,1.61323e-07,0.230162,3.12422e-06,1.70987e-06,2.72344e-06,0.000780363,2.75328e-06,0.000271585,0.000861884,2.44709e-08,4.04757e-07,2.33466e-06,6.13365e-06,1.70624e-08,1.99008e-10,1.14798e-05,8.7485e-08,3.11379e-07,1.01183e-06,1.3665e-06,1.89058e-06,5.1313e-08,7.68675e-08,1.45728e-06,1.83894e-08,1.45422e-05,0,0.00172081,4.16532e-07,3.36916e-08,2.98341e-08
