Z,Yc,h,omegaYc,T,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,CO,CO2,HCO,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,H2O2,C2H2,C2H3,CH2CHO,CH2CO,CH2OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O
-0,0,1893.98,0,300,0.75425,0.01378,0,0,0.23197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000384,0,-72.3933,0.162888,304.639,0.753797,0.0137717,0,1.60018e-07,0.231256,3.41428e-06,1.5464e-06,1.99053e-06,0.00035757,7.7618e-07,0.000111798,0.000418373,1.20606e-08,2.39793e-07,7.38955e-07,1.84754e-06,3.8245e-08,5.71355e-11,1.14972e-05,1.348e-08,7.34989e-08,5.62172e-07,3.4017e-07,3.0462e-06,9.41376e-08,1.37823e-08,5.73975e-07,4.52361e-07,4.44499e-06,0,0.000255318,5.97528e-08,1.12957e-07,4.84831e-09
0.000759,0,-1996.02,0.31758,309.038,0.753371,0.013764,0,3.12245e-07,0.23058,6.66123e-06,3.01611e-06,3.88577e-06,0.000696915,1.50916e-06,0.000217857,0.000815485,2.3505e-08,4.67776e-07,1.43798e-06,3.59174e-06,7.47456e-08,1.11682e-10,2.24745e-05,2.61464e-08,1.42775e-07,1.09691e-06,6.6054e-07,5.95848e-06,1.84012e-07,2.67796e-08,1.11637e-06,8.86494e-07,8.63841e-06,0,0.000492718,1.15941e-07,2.21311e-07,9.42317e-09
0.001125,0,-3879.29,0.464809,313.22,0.752969,0.0137566,0,4.57372e-07,0.229937,9.75574e-06,4.41595e-06,5.69424e-06,0.00101968,2.20292e-06,0.000318696,0.00119325,3.43886e-08,6.85006e-07,2.10072e-06,5.24212e-06,1.09655e-07,1.63868e-10,3.29782e-05,3.80757e-08,2.08218e-07,1.60668e-06,9.62951e-07,8.7486e-06,2.69999e-07,3.90643e-08,1.63007e-06,1.30398e-06,1.26034e-05,0,0.000713992,1.68897e-07,3.25462e-07,1.37498e-08
0.001484,0,-5724.46,0.605976,317.225,0.752587,0.0137496,0,5.96756e-07,0.229323,1.27268e-05,5.75915e-06,7.4327e-06,0.00132896,2.86445e-06,0.000415288,0.0015553,4.48158e-08,8.9353e-07,2.73378e-06,6.81544e-06,1.43289e-07,2.14161e-10,4.31029e-05,4.93951e-08,2.70506e-07,2.09628e-06,1.25055e-06,1.14413e-05,3.52871e-07,5.07625e-08,2.12025e-06,1.70838e-06,1.63806e-05,0,0.000921817,2.19182e-07,4.26303e-07,1.78723e-08
0.001835,0,-7533.64,0.741186,321.057,0.752224,0.013743,0,7.30478e-07,0.228735,1.55763e-05,7.0466e-06,9.10207e-06,0.00162502,3.49464e-06,0.000507715,0.00190192,5.47951e-08,1.09348e-06,3.33788e-06,8.31381e-06,1.75657e-07,2.62575e-10,5.28515e-05,6.01256e-08,3.2973e-07,2.56603e-06,1.5238e-06,1.4037e-05,4.32651e-07,6.18913e-08,2.58751e-06,2.09962e-06,1.99753e-05,0,0.00111685,2.66886e-07,5.23819e-07,2.17964e-08
0.002179,0,-9308.81,0.871253,324.738,0.751878,0.0137367,0,8.59321e-07,0.228171,1.8321e-05,8.28595e-06,1.0712e-05,0.00190965,4.09762e-06,0.000596545,0.00223521,6.43875e-08,1.28605e-06,3.91688e-06,9.74715e-06,2.0694e-07,3.09379e-10,6.22783e-05,7.03433e-08,3.86293e-07,3.01869e-06,1.78457e-06,1.65499e-05,5.09781e-07,7.25252e-08,3.03489e-06,2.4797e-06,2.34115e-05,0,0.00130072,3.12341e-07,6.18515e-07,2.55483e-08
0.002516,0,-11051.8,0.996538,328.281,0.751547,0.0137306,0,9.83624e-07,0.227629,2.09681e-05,9.48058e-06,1.22667e-05,0.00218368,4.67537e-06,0.000682033,0.00255613,7.36201e-08,1.47175e-06,4.47261e-06,1.11202e-05,2.37211e-07,3.54682e-10,7.14056e-05,8.00866e-08,4.40391e-07,3.45549e-06,2.03378e-06,1.89855e-05,5.84443e-07,8.27007e-08,3.46384e-06,2.84938e-06,2.67007e-05,0,0.00147434,3.55717e-07,7.1058e-07,2.91406e-08
0.002847,0,-12764.5,1.11772,331.703,0.75123,0.0137248,0,1.10404e-06,0.227106,2.35317e-05,1.06369e-05,1.37742e-05,0.0024486,5.2313e-06,0.000764651,0.00286643,8.25435e-08,1.65158e-06,5.00826e-06,1.24411e-05,2.66622e-07,3.98711e-10,8.02791e-05,8.94175e-08,4.9235e-07,3.87873e-06,2.27297e-06,2.13559e-05,6.57009e-07,9.2479e-08,3.87685e-06,3.21036e-06,2.98627e-05,0,0.00163902,3.97285e-07,8.00443e-07,3.25946e-08
0.003172,0,-14448.5,1.23505,335.014,0.750924,0.0137193,0,1.22082e-06,0.2266,2.60171e-05,1.17572e-05,1.52375e-05,0.00270499,5.76683e-06,0.000844583,0.00316678,9.11773e-08,1.82589e-06,5.52514e-06,1.37132e-05,2.95228e-07,4.41543e-10,8.89146e-05,9.8364e-08,5.42313e-07,4.28928e-06,2.50279e-06,2.3665e-05,7.27608e-07,1.01886e-07,4.27498e-06,3.56317e-06,3.29059e-05,0,0.00179542,4.37168e-07,8.88237e-07,3.59195e-08
0.003492,0,-16105.3,1.34912,338.229,0.75063,0.0137139,0,1.33452e-06,0.226109,2.84362e-05,1.28471e-05,1.66637e-05,0.00295414,6.28484e-06,0.00092223,0.00345868,9.95647e-08,1.99556e-06,6.02596e-06,1.49435e-05,3.23159e-07,4.83377e-10,9.73521e-05,1.06978e-07,5.90556e-07,4.68915e-06,2.72454e-06,2.59232e-05,7.96566e-07,1.10974e-07,4.66032e-06,3.90933e-06,3.58467e-05,0,0.00194459,4.75593e-07,9.74344e-07,3.91333e-08
