Z,Yc,h,omegaYc,T,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,CO,CO2,HCO,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,H2O2,C2H2,C2H3,CH2CHO,CH2CO,CH2OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O
-0,0,1893.98,0,300,0.75425,0.01378,0,0,0.23197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000329,0,205.403,3.96261e-05,300.002,0.75425,0.01378,0,5.11273e-11,0.23197,1.38474e-09,5.33401e-10,8.29189e-10,1.31136e-07,1.36757e-10,3.32701e-08,1.63491e-07,3.10833e-12,8.92812e-11,1.32992e-10,3.32446e-10,1.68248e-11,0,6.74778e-09,1.05016e-12,9.38106e-12,2.08404e-10,5.15258e-11,1.79803e-09,5.62998e-11,1.51143e-12,1.11141e-10,4.01794e-10,7.17735e-10,0,1.54383e-08,5.18701e-12,4.09953e-11,9.46115e-13
0.00065,0,-1441.6,7.82438e-05,300.003,0.75425,0.01378,0,1.00954e-10,0.23197,2.73424e-09,1.05323e-09,1.63728e-09,2.58935e-07,2.70033e-10,6.56936e-08,3.22822e-07,6.13756e-12,1.7629e-10,2.62599e-10,6.56433e-10,3.32215e-11,0,1.33239e-08,2.07359e-12,1.85234e-11,4.11505e-10,1.0174e-10,3.5503e-09,1.11167e-10,2.9844e-12,2.19454e-10,7.93363e-10,1.41721e-09,0,3.04837e-08,1.0242e-11,8.09474e-11,1.86815e-12
0.000963,0,-3049.59,0.000115857,300.005,0.75425,0.01378,0,1.49483e-10,0.231969,4.04862e-09,1.55953e-09,2.42433e-09,3.83409e-07,3.99842e-10,9.72733e-08,4.78006e-07,9.08796e-12,2.61035e-10,3.88833e-10,9.71988e-10,4.91915e-11,0,1.97288e-08,3.07039e-12,2.74278e-11,6.0932e-10,1.50648e-10,5.25697e-09,1.64606e-10,4.41904e-12,3.24949e-10,1.17474e-09,2.09847e-09,0,4.51376e-08,1.51655e-11,1.1986e-10,2.7662e-12
0.001268,0,-4620.98,0.000152468,300.006,0.75425,0.01378,0,1.9672e-10,0.231969,5.32799e-09,2.05234e-09,3.19043e-09,5.04567e-07,5.26193e-10,1.28012e-07,6.29057e-07,1.19598e-11,3.43523e-10,5.11706e-10,1.27914e-09,6.47362e-11,0,2.59632e-08,4.04064e-12,3.60951e-11,8.01867e-10,1.98254e-10,6.91819e-09,2.16622e-10,5.81548e-12,4.27634e-10,1.54596e-09,2.7616e-09,0,5.94012e-08,1.99578e-11,1.57736e-10,3.64032e-12
0.001566,0,-6157.99,0.0001882,300.008,0.754249,0.01378,0,2.42824e-10,0.231969,6.57667e-09,2.53333e-09,3.93815e-09,6.22818e-07,6.49512e-10,1.58013e-07,7.76484e-07,1.47627e-11,4.24032e-10,6.3163e-10,1.57892e-09,7.99078e-11,0,3.20479e-08,4.98761e-12,4.45544e-11,9.89793e-10,2.44716e-10,8.53954e-09,2.6739e-10,7.1784e-12,5.27854e-10,1.90828e-09,3.40881e-09,0,7.33225e-08,2.46352e-11,1.94703e-10,4.49347e-12
0.001857,0,-7662.72,0.000223057,300.009,0.754249,0.01378,0,2.87797e-10,0.231969,7.79474e-09,3.00253e-09,4.66753e-09,7.38171e-07,7.69808e-10,1.87279e-07,9.20297e-07,1.74969e-11,5.02567e-10,7.48615e-10,1.87135e-09,9.47076e-11,0,3.79835e-08,5.91137e-12,5.28063e-11,1.17311e-09,2.9004e-10,1.01212e-08,3.16914e-10,8.50791e-12,6.25618e-10,2.26171e-09,4.04016e-09,0,8.69026e-08,2.91978e-11,2.30764e-10,5.32571e-12
0.002141,0,-9137.11,0.00025704,300.011,0.754249,0.01378,0,3.31644e-10,0.231968,8.98229e-09,3.45998e-09,5.37865e-09,8.50633e-07,8.87091e-10,2.15811e-07,1.06051e-06,2.01626e-11,5.79135e-10,8.62669e-10,2.15646e-09,1.09137e-10,0,4.37704e-08,6.81199e-12,6.08515e-11,1.35184e-09,3.34229e-10,1.16631e-08,3.65196e-10,9.80412e-12,7.20933e-10,2.60629e-09,4.65569e-09,0,1.00143e-07,3.36462e-11,2.65922e-10,6.1371e-12
0.00242,0,-10583,0.000290392,300.012,0.754249,0.01378,0,3.74676e-10,0.231968,1.01478e-08,3.90892e-09,6.07654e-09,9.61006e-07,1.00219e-09,2.43813e-07,1.19811e-06,2.27788e-11,6.54279e-10,9.74603e-10,2.43627e-09,1.23297e-10,0,4.94498e-08,7.69586e-12,6.87472e-11,1.52725e-09,3.77596e-10,1.31765e-08,4.12582e-10,1.10762e-11,8.14477e-10,2.94446e-09,5.25978e-09,0,1.13136e-07,3.80119e-11,3.00426e-10,6.93341e-12
0.002693,0,-12002.1,0.000322995,300.014,0.754249,0.01378,0,4.16741e-10,0.231968,1.12871e-08,4.34778e-09,6.75876e-09,1.0689e-06,1.11471e-09,2.71187e-07,1.33262e-06,2.53362e-11,7.27736e-10,1.08402e-09,2.70979e-09,1.3714e-10,0,5.50016e-08,8.55989e-12,7.64656e-11,1.69871e-09,4.1999e-10,1.46558e-08,4.58903e-10,1.23198e-11,9.05919e-10,3.27504e-09,5.8503e-09,0,1.25838e-07,4.22796e-11,3.34155e-10,7.71183e-12
