Z,Yc,h,omegaYc,T,N2,AR,HE,H,O2,OH,O,H2,H2O,HO2,CO,CO2,HCO,CH3,CH4,CH2O,T-CH2,S-CH2,C2H4,CH3O,C2H5,C2H6,H2O2,C2H2,C2H3,CH2CHO,CH2CO,CH2OH,CH3CHO,CH3CO,C2H5OH,CH2CH2OH,CH3CHOH,CH3CH2O
-0,0,1893.98,0,300,0.75425,0.01378,0,0,0.23197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000468,0,-510.384,0.0332802,301.897,0.754115,0.0137775,0,4.42638e-08,0.231691,1.44488e-06,5.3667e-07,8.21559e-07,0.000146592,1.646e-07,3.45183e-05,0.00018476,2.81385e-09,8.76703e-08,1.45355e-07,4.27148e-07,1.2976e-08,0,8.33058e-06,1.62288e-09,1.20733e-08,2.52007e-07,8.062e-08,1.75967e-06,5.12036e-08,1.89203e-09,1.40917e-07,5.8044e-07,9.95221e-07,0,3.4787e-05,6.49931e-09,3.40571e-08,7.97661e-10
0.000919,0,-2831.89,0.0651378,303.713,0.753985,0.0137752,0,8.66438e-08,0.231424,2.82825e-06,1.05045e-06,1.60843e-06,0.000286955,3.22084e-07,6.75678e-05,0.000361671,5.50723e-09,1.7163e-07,2.84468e-07,8.35827e-07,2.54048e-08,0,1.63117e-05,3.17473e-09,2.36214e-08,4.93391e-07,1.57728e-07,3.44548e-06,1.0025e-07,3.70206e-09,2.75747e-07,1.13663e-06,1.94726e-06,0,6.802e-05,1.27143e-08,6.66895e-08,1.56104e-09
0.001354,0,-5077.12,0.0956692,305.454,0.753861,0.0137729,0,1.27267e-07,0.231169,4.15428e-06,1.54289e-06,2.36296e-06,0.000421511,4.72937e-07,9.92477e-05,0.000531262,8.08829e-09,2.52128e-07,4.17764e-07,1.2273e-06,3.73231e-08,0,2.39668e-05,4.66043e-09,3.46804e-08,7.24866e-07,2.31566e-07,5.06239e-06,1.47284e-07,5.43571e-09,4.04907e-07,1.6702e-06,2.85907e-06,0,9.98076e-05,1.86647e-08,9.79923e-08,2.29247e-09
0.001774,0,-7252.06,0.124968,307.125,0.753742,0.0137707,0,1.66258e-07,0.230923,5.42697e-06,2.01549e-06,3.08738e-06,0.000550665,6.17629e-07,0.000129654,0.000694046,1.0565e-08,3.29406e-07,5.45651e-07,1.60278e-06,4.87664e-08,0,3.13185e-05,6.08469e-09,4.52851e-08,9.47121e-07,3.02365e-07,6.61518e-06,1.92445e-07,7.09838e-09,5.28797e-07,2.1827e-06,3.7335e-06,0,0.000130254,2.43691e-08,1.28058e-07,2.9942e-09
0.002181,0,-9362.1,0.153192,308.735,0.753627,0.0137686,0,2.03826e-07,0.230687,6.65324e-06,2.47082e-06,3.78561e-06,0.000675117,7.56954e-07,0.000158951,0.000850903,1.29507e-08,4.03882e-07,6.68829e-07,1.96433e-06,5.97963e-08,0,3.84062e-05,7.45543e-09,5.54938e-08,1.16135e-06,3.70517e-07,8.11217e-06,2.35977e-07,8.69922e-09,6.48096e-07,2.67687e-06,4.57538e-06,0,0.000159531,2.98594e-08,1.57046e-07,3.67006e-09
0.002575,0,-11412.2,0.180361,310.285,0.753516,0.0137666,0,2.39994e-07,0.230459,7.83381e-06,2.90914e-06,4.45804e-06,0.000794941,8.91006e-07,0.000187158,0.00100193,1.5247e-08,4.756e-07,7.87376e-07,2.3122e-06,7.04192e-08,0,4.52337e-05,8.77362e-09,6.53138e-08,1.36768e-06,4.3607e-07,9.55419e-06,2.77903e-07,1.02393e-08,7.62885e-07,3.15299e-06,5.38527e-06,0,0.000187662,3.51393e-08,1.84974e-07,4.32049e-09
0.002957,0,-13406.7,0.206559,311.78,0.75341,0.0137647,0,2.74877e-07,0.230239,8.97238e-06,3.33184e-06,5.10675e-06,0.00091051,1.02021e-06,0.000214361,0.00114759,1.74612e-08,5.4478e-07,9.01667e-07,2.64748e-06,8.06676e-08,0,5.1822e-05,1.00435e-08,7.47766e-08,1.56674e-06,4.99234e-07,1.09456e-05,3.18354e-07,1.17236e-08,8.73528e-07,3.61248e-06,6.16577e-06,0,0.000214742,4.02261e-08,2.11926e-07,4.94756e-09
0.003329,0,-15349.9,0.231937,313.228,0.753307,0.0137628,0,3.08673e-07,0.230026,1.00755e-05,3.74134e-06,5.73545e-06,0.00102249,1.14532e-06,0.000240717,0.00128873,1.96059e-08,6.11819e-07,1.01236e-06,2.97214e-06,9.06002e-08,0,5.82085e-05,1.12726e-08,8.39372e-08,1.75967e-06,5.60377e-07,1.22945e-05,3.5756e-07,1.31607e-08,9.80667e-07,4.05798e-06,6.92141e-06,0,0.000240929,4.51493e-08,2.38054e-07,5.55487e-09
0.003691,0,-17245.4,0.256506,314.631,0.753207,0.0137609,0,3.41398e-07,0.22982,1.11436e-05,4.13784e-06,6.34441e-06,0.00113092,1.26639e-06,0.000266239,0.0014254,2.16822e-08,6.76747e-07,1.11951e-06,3.28633e-06,1.00221e-07,0,6.43959e-05,1.24615e-08,9.28005e-08,1.94656e-06,6.19533e-07,1.36012e-05,3.95537e-07,1.45513e-08,1.08436e-06,4.48964e-06,7.6526e-06,0,0.000266242,4.99118e-08,2.63371e-07,6.14273e-09
